,GameId,GameDate,NeutralSite,AwayTeam,HomeTeam
0,1,1/1/2019 13:00,0,Notre Dame Fighting Irish,Virginia Tech Hokies
1,2,1/3/2019 19:00,0,North Carolina State Wolfpack,Miami (FL) Hurricanes
2,3,1/5/2019 3:27,0,Clemson Tigers,Duke Blue Devils
3,4,1/5/2019 12:00,0,Boston College Eagles,Virginia Tech Hokies
4,5,1/5/2019 12:00,0,Syracuse Orange,Notre Dame Fighting Irish
5,6,1/5/2019 12:00,0,North Carolina Tar Heels,Pittsburgh Panthers
6,7,1/5/2019 14:00,0,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets
7,8,1/5/2019 15:00,0,Florida State Seminoles,Virginia Cavaliers
8,9,1/6/2019 18:00,0,Miami (FL) Hurricanes,Louisville Cardinals
9,10,1/8/2019 19:00,0,Duke Blue Devils,Wake Forest Demon Deacons
10,11,1/8/2019 21:00,0,North Carolina Tar Heels,North Carolina State Wolfpack
11,12,1/9/2019 19:00,0,Virginia Tech Hokies,Georgia Tech Yellow Jackets
12,13,1/9/2019 20:00,0,Clemson Tigers,Syracuse Orange
13,14,1/9/2019 20:00,0,Louisville Cardinals,Pittsburgh Panthers
14,15,1/9/2019 21:00,0,Miami (FL) Hurricanes,Florida State Seminoles
15,16,1/9/2019 21:00,0,Virginia Cavaliers,Boston College Eagles
16,17,1/12/2019 12:00,0,Boston College Eagles,Notre Dame Fighting Irish
17,18,1/12/2019 12:00,0,Virginia Cavaliers,Clemson Tigers
18,19,1/12/2019 12:00,0,Pittsburgh Panthers,North Carolina State Wolfpack
19,20,1/12/2019 12:00,0,Louisville Cardinals,North Carolina Tar Heels
20,21,1/12/2019 14:00,0,Duke Blue Devils,Florida State Seminoles
21,22,1/12/2019 14:00,0,Wake Forest Demon Deacons,Miami (FL) Hurricanes
22,23,1/12/2019 18:00,0,Georgia Tech Yellow Jackets,Syracuse Orange
23,24,1/14/2019 19:00,0,Syracuse Orange,Duke Blue Devils
24,25,1/14/2019 19:00,0,Florida State Seminoles,Pittsburgh Panthers
25,26,1/15/2019 20:00,0,North Carolina State Wolfpack,Wake Forest Demon Deacons
26,27,1/15/2019 20:00,0,Virginia Tech Hokies,Virginia Cavaliers
27,28,1/15/2019 21:00,0,Notre Dame Fighting Irish,North Carolina Tar Heels
28,29,1/16/2019 19:00,0,Boston College Eagles,Louisville Cardinals
29,30,1/16/2019 21:00,0,Georgia Tech Yellow Jackets,Clemson Tigers
30,31,1/19/2019 3:27,0,Virginia Cavaliers,Duke Blue Devils
31,32,1/19/2019 12:00,0,North Carolina Tar Heels,Miami (FL) Hurricanes
32,33,1/19/2019 14:00,0,North Carolina State Wolfpack,Notre Dame Fighting Irish
33,34,1/19/2019 14:00,0,Pittsburgh Panthers,Syracuse Orange
34,35,1/19/2019 16:00,0,Wake Forest Demon Deacons,Virginia Tech Hokies
35,36,1/19/2019 16:00,0,Louisville Cardinals,Georgia Tech Yellow Jackets
36,37,1/20/2019 12:00,0,Florida State Seminoles,Boston College Eagles
37,38,1/21/2019 19:00,0,Virginia Tech Hokies,North Carolina Tar Heels
38,39,1/22/2019 19:00,0,Clemson Tigers,Florida State Seminoles
39,40,1/22/2019 19:00,0,Notre Dame Fighting Irish,Georgia Tech Yellow Jackets
40,41,1/22/2019 21:00,0,Wake Forest Demon Deacons,Virginia Cavaliers
41,42,1/22/2019 21:00,0,Duke Blue Devils,Pittsburgh Panthers
42,43,1/24/2019 20:00,0,North Carolina State Wolfpack,Louisville Cardinals
43,44,1/24/2019 20:00,0,Miami (FL) Hurricanes,Syracuse Orange
44,45,1/26/2019 12:00,0,Georgia Tech Yellow Jackets,Duke Blue Devils
45,46,1/26/2019 13:00,0,Virginia Cavaliers,Notre Dame Fighting Irish
46,47,1/26/2019 14:00,0,Pittsburgh Panthers,Louisville Cardinals
47,48,1/26/2019 14:00,0,Clemson Tigers,North Carolina State Wolfpack
48,49,1/26/2019 16:00,0,Boston College Eagles,Wake Forest Demon Deacons
49,50,1/26/2019 20:00,0,Syracuse Orange,Virginia Tech Hokies
50,51,1/27/2019 18:00,0,Florida State Seminoles,Miami (FL) Hurricanes
51,52,1/28/2019 19:00,0,Duke Blue Devils,Notre Dame Fighting Irish
52,53,1/29/2019 19:00,0,Virginia Cavaliers,North Carolina State Wolfpack
53,54,1/29/2019 19:00,0,North Carolina Tar Heels,Georgia Tech Yellow Jackets
54,55,1/29/2019 21:00,0,Pittsburgh Panthers,Clemson Tigers
55,56,1/30/2019 19:00,0,Virginia Tech Hokies,Miami (FL) Hurricanes
56,57,1/30/2019 20:00,0,Syracuse Orange,Boston College Eagles
57,58,1/30/2019 20:00,0,Louisville Cardinals,Wake Forest Demon Deacons
58,59,2/2/2019 3:27,0,North Carolina Tar Heels,Louisville Cardinals
59,60,2/2/2019 12:00,0,Virginia Tech Hokies,North Carolina State Wolfpack
60,61,2/2/2019 12:00,0,Georgia Tech Yellow Jackets,Florida State Seminoles
61,62,2/2/2019 14:00,0,Notre Dame Fighting Irish,Boston College Eagles
62,63,2/2/2019 14:00,0,Miami (FL) Hurricanes,Virginia Cavaliers
63,64,2/2/2019 18:00,0,Syracuse Orange,Pittsburgh Panthers
64,65,2/3/2019 12:00,0,Wake Forest Demon Deacons,Clemson Tigers
65,66,2/4/2019 19:00,0,Louisville Cardinals,Virginia Tech Hokies
66,67,2/5/2019 19:00,0,Boston College Eagles,Duke Blue Devils
67,68,2/5/2019 19:00,0,Pittsburgh Panthers,Wake Forest Demon Deacons
68,69,2/5/2019 20:00,0,North Carolina State Wolfpack,North Carolina Tar Heels
69,70,2/5/2019 20:00,0,Florida State Seminoles,Syracuse Orange
70,71,2/6/2019 14:00,0,Clemson Tigers,Georgia Tech Yellow Jackets
71,72,2/6/2019 19:00,0,Notre Dame Fighting Irish,Miami (FL) Hurricanes
72,73,2/9/2019 12:00,0,Miami (FL) Hurricanes,North Carolina Tar Heels
73,74,2/9/2019 12:00,0,Virginia Tech Hokies,Clemson Tigers
74,75,2/9/2019 14:00,0,North Carolina State Wolfpack,Pittsburgh Panthers
75,76,2/9/2019 14:00,0,Boston College Eagles,Syracuse Orange
76,77,2/9/2019 16:00,0,Louisville Cardinals,Florida State Seminoles
77,78,2/9/2019 18:00,0,Duke Blue Devils,Virginia Cavaliers
78,79,2/10/2019 18:00,0,Georgia Tech Yellow Jackets,Notre Dame Fighting Irish
79,80,2/11/2019 19:00,0,Virginia Cavaliers,North Carolina Tar Heels
80,81,2/12/2019 19:00,0,Pittsburgh Panthers,Boston College Eagles
81,82,2/12/2019 21:00,0,Duke Blue Devils,Louisville Cardinals
82,83,2/13/2019 19:00,0,Clemson Tigers,Miami (FL) Hurricanes
83,84,2/13/2019 19:00,0,Wake Forest Demon Deacons,Florida State Seminoles
84,85,2/13/2019 20:00,0,Syracuse Orange,North Carolina State Wolfpack
85,86,2/13/2019 20:00,0,Georgia Tech Yellow Jackets,Virginia Tech Hokies
86,87,2/16/2019 3:27,0,North Carolina State Wolfpack,Duke Blue Devils
87,88,2/16/2019 12:00,0,North Carolina Tar Heels,Wake Forest Demon Deacons
88,89,2/16/2019 12:00,0,Clemson Tigers,Louisville Cardinals
89,90,2/16/2019 14:00,0,Notre Dame Fighting Irish,Virginia Cavaliers
90,91,2/16/2019 14:00,0,Florida State Seminoles,Georgia Tech Yellow Jackets
91,92,2/16/2019 16:30,0,Virginia Tech Hokies,Pittsburgh Panthers
92,93,2/17/2019 18:00,0,Miami (FL) Hurricanes,Boston College Eagles
93,94,2/18/2019 19:00,0,Virginia Cavaliers,Virginia Tech Hokies
94,95,2/19/2019 19:00,0,Wake Forest Demon Deacons,Notre Dame Fighting Irish
95,96,2/19/2019 21:00,0,Florida State Seminoles,Clemson Tigers
96,97,2/20/2019 19:00,0,Boston College Eagles,North Carolina State Wolfpack
97,98,2/20/2019 19:00,0,Louisville Cardinals,Syracuse Orange
98,99,2/20/2019 21:00,0,North Carolina Tar Heels,Duke Blue Devils
99,100,2/20/2019 21:00,0,Pittsburgh Panthers,Georgia Tech Yellow Jackets
100,101,2/23/2019 3:27,0,Duke Blue Devils,Syracuse Orange
101,102,2/23/2019 12:00,0,Virginia Cavaliers,Louisville Cardinals
102,103,2/23/2019 12:00,0,Boston College Eagles,Clemson Tigers
103,104,2/23/2019 14:00,0,Georgia Tech Yellow Jackets,Miami (FL) Hurricanes
104,105,2/23/2019 15:45,0,Florida State Seminoles,North Carolina Tar Heels
105,106,2/23/2019 16:00,0,Virginia Tech Hokies,Notre Dame Fighting Irish
106,107,2/24/2019 18:00,0,Wake Forest Demon Deacons,North Carolina State Wolfpack
107,108,2/25/2019 19:00,0,Notre Dame Fighting Irish,Florida State Seminoles
108,109,2/26/2019 3:27,0,Duke Blue Devils,Virginia Tech Hokies
109,110,2/26/2019 19:00,0,Miami (FL) Hurricanes,Wake Forest Demon Deacons
110,111,2/26/2019 21:00,0,Syracuse Orange,North Carolina Tar Heels
111,112,2/27/2019 19:00,0,Clemson Tigers,Pittsburgh Panthers
112,113,2/27/2019 19:00,0,Georgia Tech Yellow Jackets,Virginia Cavaliers
113,114,2/27/2019 21:00,0,Louisville Cardinals,Boston College Eagles
114,115,3/2/2019 3:27,0,North Carolina Tar Heels,Clemson Tigers
115,116,3/2/2019 12:00,0,North Carolina State Wolfpack,Florida State Seminoles
116,117,3/2/2019 12:00,0,Syracuse Orange,Wake Forest Demon Deacons
117,118,3/2/2019 14:00,0,Pittsburgh Panthers,Virginia Cavaliers
118,119,3/2/2019 16:00,0,Miami (FL) Hurricanes,Duke Blue Devils
119,120,3/3/2019 13:30,0,Notre Dame Fighting Irish,Louisville Cardinals
120,121,3/3/2019 18:00,0,Boston College Eagles,Georgia Tech Yellow Jackets
121,122,3/4/2019 19:00,0,Virginia Cavaliers,Syracuse Orange
122,123,3/5/2019 19:00,0,Wake Forest Demon Deacons,Duke Blue Devils
123,124,3/5/2019 19:00,0,Virginia Tech Hokies,Florida State Seminoles
124,125,3/5/2019 20:00,0,Pittsburgh Panthers,Miami (FL) Hurricanes
125,126,3/5/2019 20:00,0,North Carolina Tar Heels,Boston College Eagles
126,127,3/6/2019 21:00,0,Clemson Tigers,Notre Dame Fighting Irish
127,128,3/6/2019 21:00,0,Georgia Tech Yellow Jackets,North Carolina State Wolfpack
128,129,3/8/2019 19:00,0,Miami (FL) Hurricanes,Virginia Tech Hokies
129,130,3/9/2019 3:27,0,Louisville Cardinals,Virginia Cavaliers
130,131,3/9/2019 12:00,0,Florida State Seminoles,Wake Forest Demon Deacons
131,132,3/9/2019 12:00,0,Syracuse Orange,Clemson Tigers
132,133,3/9/2019 12:00,0,Notre Dame Fighting Irish,Pittsburgh Panthers
133,134,3/9/2019 14:00,0,North Carolina State Wolfpack,Boston College Eagles
134,135,3/9/2019 18:00,0,Duke Blue Devils,North Carolina Tar Heels
135,136,3/12/2019 12:00,1,Wake Forest Demon Deacons,Miami (FL) Hurricanes
136,137,3/12/2019 14:00,1,Notre Dame Fighting Irish,Georgia Tech Yellow Jackets
137,138,3/12/2019 19:00,1,Pittsburgh Panthers,Boston College Eagles
138,139,3/13/2019 12:00,1,Clemson Tigers,North Carolina State Wolfpack
139,140,3/13/2019 14:00,1,Miami (FL) Hurricanes,Virginia Tech Hokies
140,141,3/13/2019 19:00,1,Notre Dame Fighting Irish,Louisville Cardinals
141,142,3/13/2019 21:00,1,Pittsburgh Panthers,Syracuse Orange
142,143,3/14/2019 12:30,1,North Carolina State Wolfpack,Virginia Cavaliers
143,144,3/14/2019 14:30,1,Virginia Tech Hokies,Florida State Seminoles
144,145,3/14/2019 19:00,1,Louisville Cardinals,North Carolina Tar Heels
145,146,3/14/2019 21:00,1,Syracuse Orange,Duke Blue Devils
146,147,3/15/2019 19:00,1,Florida State Seminoles,Virginia Cavaliers
147,148,3/15/2019 21:00,1,Duke Blue Devils,North Carolina Tar Heels
148,149,3/16/2019 20:30,1,Florida State Seminoles,Duke Blue Devils
